PROJECT_DEV,WBS_element,Sales_Document,SO DATE,CUSTOMER PO NUMBER,Sold-to_party,MATERIAL CODE,MATERIAL NAME,NO,QTY SO,UOM,UNIT PRICE SO,TOTAL PRICE SO,DELIVER QTY,UOM.1,UNIT PRICE DO,DELIVERED,TO BE DELIVER QTY,INVOICED QTY,UOM.2,UNIT PRICE INVOICE,TOTAL PRICE BILLING,TO BE INVOICED,PO date,Req.dlv.dt,Duration (in days),Status
M9-22008,M9-22008.9000000190,1200000170,1/12/2023,PON/GMB/1222/00062,20047,FGB566A0059B,ABS 059B Jeruk Abu,180,45,PC,5044500,227002500,45,,5044500,227002500,0,45,,5044500,227002500,0,26.12.2022,20.01.2023,25,Complete
M9-23004,M9-23004.9000000193,1200000208,2/24/2023,PON/GMB/0223/00033,20047,FGB566A0079,ABS 079 Jeruk Abu,160,45,PC,6214500,279652500,45,,6214500,279652500,0,45,,6214500,279652500,0,24.02.2023,08.03.2023,12,Complete
M1-23011,M1-23011.4300004437,1200000292,2/26/2024,4300004437,140000,FGB50AG0702P02,Large Emergency Window,60,44,SET,288018808,12672827552,44,,288018808,12672827552,0,44,,288018808,12672827552,0,18.10.2023,16.02.2024,121,Complete
M1-23011,M1-23011.4300004437,1200000292,2/26/2024,4300004437,140000,FGB50AG0702P03,Large Openable Window,70,44,SET,396025872,17425138368,44,,396025872,17425138368,0,44,,396025872,17425138368,0,18.10.2023,16.02.2024,121,Complete
M1-23011,M1-23011.4300004437,1200000292,2/26/2024,4300004437,140000,FGC95LF0809,Palu darurat,230,44,PC,3326840,146380960,44,,3326840,146380960,0,44,,3326840,146380960,0,18.10.2023,16.02.2024,121,Complete
M1-22041,M1-22041.4500010091,1200000287,1/22/2024,4500010091,140000,FGB50AG1002P03,Openable Window,90,110,SET,934676490,1.03E+11,43,,934676490,40191089070,67,43,,934676490,40191089070,0,04.09.2023,30.04.2026,969,On Progress
M9-23004,M9-23004.9000000254,1200000241,6/21/2023,PON/GMB/0623/00059,20047,FGB566A0079,ABS 079 Jeruk Abu,90,42,PC,5800200,243608400,42,,5800200,243608400,0,42,,5800200,243608400,0,20.06.2023,20.06.2023,0,Complete
M9-23004,M9-23004.9000000254,1200000241,6/21/2023,PON/GMB/0623/00059,20047,FGB566A0059B,ABS 059B Jeruk Abu,150,42,PC,4708200,197744400,42,,4708200,197744400,0,42,,4708200,197744400,0,20.06.2023,20.06.2023,0,Complete
M1-22041,M1-22041.4500010091,1200000287,1/22/2024,4500010091,140000,FGA52YP0305,Cable Protection,1010,199,SET,2892177047,5.76E+11,41,,2892177047,1.19E+11,158,41,,2892177047,1.19E+11,0,04.09.2023,30.04.2026,969,On Progress
M1-23002,M1-23002.4500011040,1200000309,6/10/2024,4500011040,140000,FGB42EA0640,BOLT_HEX_AS1110-1984,20,40,PC,38880,1555200,40,,38880,1555200,0,0,,38880,0,40,06.06.2024,12.07.2024,36,Complete
M1-23002,M1-23002.4500011040,1200000309,6/10/2024,4500011040,140000,FGB42EG1260,BOLT_HEX_FLANGE_SERRATED,50,40,PC,684440,27377600,40,,684440,27377600,0,0,,684440,0,40,06.06.2024,12.07.2024,36,Complete
M1-23002,M1-23002.4500011040,1200000309,6/10/2024,4500011040,140000,FGB43KP0100,NUT_DOME_CAP,80,40,PC,278480,11139200,40,,278480,11139200,0,0,,278480,0,40,06.06.2024,12.07.2024,36,Complete
M1-23002,M1-23002.4500011040,1200000309,6/10/2024,4500011040,140000,FGB43KS0016,NUT_HEX_FLANGE_SERRATED,110,40,PC,556960,22278400,40,,556960,22278400,0,0,,556960,0,40,06.06.2024,12.07.2024,36,Complete
M1-23002,M1-23002.4500011040,1200000309,6/10/2024,4500011040,140000,FGB42EG0625,SETSCREW_HEX HEAD (FULL THREAD),240,40,PC,45360,1814400,40,,45360,1814400,0,0,,45360,0,40,06.06.2024,12.07.2024,36,Complete
M1-22038,M1-22038.4500010284,1200000286,1/17/2024,4500010284,140000,FGD73ML9608,Insulator Bush OTC,50,40,PC,3460000,138400000,40,,3460000,138400000,0,40,,3460000,138400000,0,29.12.2023,31.01.2024,33,Complete
M1-22038,M1-22038.4500010284,1200000286,1/17/2024,4500010284,140000,FGD73SH0601,Cup Brush (Sikat Baja Mangkok),60,40,PC,780000,31200000,40,,780000,31200000,0,40,,780000,31200000,0,29.12.2023,31.01.2024,33,Complete
M1-22038,M1-22038.4500010284,1200000286,1/17/2024,4500010284,140000,FGD84TA5002,Sarung Tangan,70,40,PAA,8616000,344640000,40,,8616000,344640000,0,40,,8616000,344640000,0,29.12.2023,31.01.2024,33,Complete
M1-22038,M1-22038.4500010284,1200000286,1/17/2024,4500010284,140000,FGD84TW0001,Sarung Tangan Kaos,80,40,SET,184000,7360000,40,,184000,7360000,0,40,,184000,7360000,0,29.12.2023,31.01.2024,33,Complete
M1-22038,M1-22038.4500010284,1200000286,1/17/2024,4500010284,140000,FGD77TR9006,Tip Body Spare Part OTC 3503,90,40,PC,7156000,286240000,40,,7156000,286240000,0,40,,7156000,286240000,0,29.12.2023,31.01.2024,33,Complete
M1-22038,M1-22038.4500010284,1200000286,1/17/2024,4500010284,140000,FGD77TR0167,Nozzle OTC,100,40,PC,4176000,167040000,40,,4176000,167040000,0,40,,4176000,167040000,0,29.12.2023,31.01.2024,33,Complete
M1-22038,M1-22038.4500010284,1200000286,1/17/2024,4500010284,140000,FGD84TX0003C,Selbrak pakai lengan,140,40,PC,4476000,179040000,40,,4476000,179040000,0,40,,4476000,179040000,0,29.12.2023,31.01.2024,33,Complete
M1-22038,M1-22038.4500010284,1200000286,1/17/2024,4500010284,140000,FGD84TA3001,KACA MATA,150,40,PC,544000,21760000,40,,544000,21760000,0,40,,544000,21760000,0,29.12.2023,31.01.2024,33,Complete
M1-22038,M1-22038.4500010284,1200000286,1/17/2024,4500010284,140000,FGD84TP0011,Kaca Filter Hitam u/kedok Las,160,40,PC,216000,8640000,40,,216000,8640000,0,40,,216000,8640000,0,29.12.2023,31.01.2024,33,Complete
M1-22041,M1-22041.4500010091,1200000287,1/22/2024,4500010091,140000,FGB50BC0202,Luggage Rack,400,110,SET,531713600,58488496000,40,,531713600,21268544000,70,40,,531713600,21268544000,0,04.09.2023,30.04.2026,969,On Progress
M1-22041,M1-22041.4500010091,1200000287,1/22/2024,4500010091,140000,FGB50AG1002P03,Openable Window,1120,57,SET,484332363,27606944691,40,,484332363,19373294520,17,40,,484332363,19373294520,0,04.09.2023,30.04.2026,969,On Progress
M1-23002,M1-23002.4500011040,1200000309,6/10/2024,4500011040,140000,FGB42EA1010,BOLT_HEX,70,40,PC,236640,9465600,39,,236640,9228960,1,0,,236640,0,39,06.06.2024,12.07.2024,36,On Progress
M9-23004,M9-23004.9000000193,1200000208,2/24/2023,PON/GMB/0223/00033,20047,FGB566A0059B,ABS 059B Jeruk Abu,220,39,PC,4371900,170504100,39,,4371900,170504100,0,39,,4371900,170504100,0,24.02.2023,08.03.2023,12,Complete
M1-22041,M1-22041.4500010091,1200000287,1/22/2024,4500010091,140000,FGB50JA0101P03,Floor Sub-Structure,130,55,SET,3673297100,2.02E+11,38,,3673297100,1.40E+11,17,37,,3673297100,1.36E+11,1,04.09.2023,30.04.2026,969,On Progress
M1-22041,M1-22041.4500010091,1200000287,1/22/2024,4500010091,140000,FGB50AK0302,External addition,180,57,SET,290600250,16564214250,38,,290600250,11042809500,19,38,,290600250,11042809500,0,04.09.2023,30.04.2026,969,On Progress
M1-22041,M1-22041.4500010091,1200000287,1/22/2024,4500010091,140000,FGB50AB1401P01,Side wall interior,1260,110,SET,5328081000,5.86E+11,38,,5328081000,2.02E+11,72,38,,5328081000,2.02E+11,0,04.09.2023,30.04.2026,969,On Progress
M9-23004,M9-23004.9000000296,1200000260,10/13/2023,PON/GMB/1023/00035,20047,FGB566A0078,ABS 078 Jeruk Abu,70,36,PC,7736400,278510400,36,,7736400,278510400,0,0,,7736400,0,36,12.10.2023,31.10.2023,19,Complete
M9-23004,M9-23004.9000000296,1200000260,10/13/2023,PON/GMB/1023/00035,20047,FGB566A0059A,ABS 059A Jeruk Abu,130,36,PC,5760000,207360000,36,,5760000,207360000,0,0,,5760000,0,36,12.10.2023,31.10.2023,19,Complete
M1-22041,M1-22041.4500010091,1200000287,1/22/2024,4500010091,140000,FGB50AB1401P06,Endwall P1,1490,110,SET,1022926410,1.13E+11,36,,1022926410,36825350760,74,36,,1022926410,36825350760,0,04.09.2023,30.04.2026,969,On Progress
M9-23004,M9-23004.9000000193,1200000208,2/24/2023,PON/GMB/0223/00033,20047,FGB566A0083,ABS 083 Jeruk Abu,10,35,PC,5250000,183750000,35,,5250000,183750000,0,35,,5250000,183750000,0,24.02.2023,08.03.2023,12,Complete
M1-22041,M1-22041.4500010750,1200000314,7/20/2024,4500010750,140000,FGB762A18301,FOLDING SEAT,10,114,SET,313500000,35739000000,35,,313500000,10972500000,79,35,,313500000,10972500000,0,01.04.2024,21.01.2026,660,On Progress
M1-22028,M1-22028.4500009943,1200000264,10/25/2023,4500009943,140000,FGB40AD0030,Motor Cooling System,10,34,SET,76806000,2611404000,34,,76806000,2611404000,0,0,,76806000,0,34,03.01.2023,28.02.2023,56,Complete
M1-22028,M1-22028.4500009943,1200000264,10/25/2023,4500009943,140000,FGB52TH2126,Expansion Tank,20,34,PC,6902000,234668000,34,,6902000,234668000,0,0,,6902000,0,34,03.01.2023,28.02.2023,56,Complete
M1-22028,M1-22028.4500009943,1200000264,10/25/2023,4500009943,140000,FGB40AD0031,Battery Cooling System,30,34,SET,831062000,28256108000,34,,831062000,28256108000,0,0,,831062000,0,34,03.01.2023,28.02.2023,56,Complete
M1-23002,M1-23002.4500010706,1200000299,4/29/2024,4500010706,140000,FGA11ZX0160F10,STEEL PLATE,10,34,SHT,399075000,13568550000,34,,399075000,13568550000,0,33,,399075000,13169475000,1,22.03.2024,22.03.2024,0,Complete
M9-23004,M9-23004.9000000231,1200000225,5/5/2023,PON/GMB/0523/00005,20047,FGB566A0079,ABS 079 Jeruk Abu,130,33,PC,4557300,150390900,33,,4557300,150390900,0,33,,4557300,150390900,0,03.05.2023,17.05.2023,14,Complete
M1-22041,M1-22041.4500010091,1200000287,1/22/2024,4500010091,140000,FGB50JA0101P01,Floor Sub-Structure,1130,57,SET,3943994901,2.25E+11,32,,3943994901,1.26E+11,25,31,,3943994901,1.22E+11,1,04.09.2023,30.04.2026,969,On Progress
M9-23004,M9-23004.9000000265,1200000254,9/4/2023,PON/GMB/0723/00036,20047,FGB566A0079,ABS 079 Jeruk Abu,80,30,PC,4143000,124290000,30,,4143000,124290000,0,0,,4143000,0,30,15.07.2023,01.08.2023,17,Complete
M9-23004,M9-23004.9000000265,1200000254,9/4/2023,PON/GMB/0723/00036,20047,FGB566A0059B,ABS 059B Jeruk Abu,140,30,PC,3363000,100890000,30,,3363000,100890000,0,0,,3363000,0,30,15.07.2023,01.08.2023,17,Complete
M9-22008,M9-22008.9000000191,1200000169,1/12/2023,PON/GMB/1222/00063,20047,FGB566A0059A,ABS 059A Jeruk Abu,20,30,PC,4800000,144000000,30,,4800000,144000000,0,30,,4800000,144000000,0,26.12.2022,20.01.2023,25,Complete
M9-22008,M9-22008.9000000190,1200000170,1/12/2023,PON/GMB/1222/00062,20047,FGB566A0078,ABS 078 Jeruk Abu,130,30,PC,6447000,193410000,30,,6447000,193410000,0,30,,6447000,193410000,0,26.12.2022,20.01.2023,25,Complete
M9-23004,M9-23004.9000000231,1200000225,5/5/2023,PON/GMB/0523/00005,20047,FGB566A0059B,ABS 059B Jeruk Abu,180,30,PC,3363000,100890000,30,,3363000,100890000,0,30,,3363000,100890000,0,03.05.2023,17.05.2023,14,Complete
0,0,1200000238,6/16/2023,PON/GMB/0623/00026,20047,FGB566A0079,ABS 079 Jeruk Abu,80,30,PC,4143000,124290000,30,,4143000,124290000,0,30,,4143000,124290000,0,13.06.2023,26.06.2023,13,Complete
M9-23004,M9-23004.9000000250,1200000238,6/16/2023,PON/GMB/0623/00026,20047,FGB566A0059B,ABS 059B Jeruk Abu,130,30,PC,3363000,100890000,30,,3363000,100890000,0,30,,3363000,100890000,0,13.06.2023,26.06.2023,13,Complete
M1-22041,M1-22041.4500010091,1200000287,1/22/2024,4500010091,140000,FGB52TH0002P01,AC UNIT,1600,110,SET,21306174670,2.34E+12,30,,21306174670,6.39E+11,80,30,,21306174670,6.39E+11,0,04.09.2023,30.04.2026,969,On Progress
M1-22041,M1-22041.4500010091,1200000287,1/22/2024,4500010091,140000,FGB50BN0401,Train Marking and Accesories,1090,55,SET,189329250,10413108750,29,,189329250,5490548250,26,29,,189329250,5490548250,0,04.09.2023,30.04.2026,969,On Progress
M9-23004,M9-23004.9000000254,1200000241,6/21/2023,PON/GMB/0623/00059,20047,FGB566A0078,ABS 078 Jeruk Abu,80,28,PC,6017200,168481600,28,,6017200,168481600,0,28,,6017200,168481600,0,20.06.2023,20.06.2023,0,Complete
M9-23004,M9-23004.9000000254,1200000241,6/21/2023,PON/GMB/0623/00059,20047,FGB566A0059A,ABS 059A Jeruk Abu,140,28,PC,4480000,125440000,28,,4480000,125440000,0,28,,4480000,125440000,0,20.06.2023,20.06.2023,0,Complete
M1-22041,M1-22041.4500010091,1200000287,1/22/2024,4500010091,140000,FGB50AC0112,Pintu Gangway Modular + Door Lintel,820,110,SET,2384585500,2.62E+11,28,,2384585500,66768394000,82,28,,2384585500,66768394000,0,04.09.2023,30.04.2026,969,On Progress
M1-22041,M1-22041.4500010091,1200000287,1/22/2024,4500010091,140000,FGB50AB1401P02,Ceiling panel P1,1270,55,SET,1340637925,73735085875,28,,1340637925,37537861900,27,28,,1340637925,37537861900,0,04.09.2023,30.04.2026,969,On Progress
M1-22041,M1-22041.4500010091,1200000287,1/22/2024,4500010091,140000,FGD8406TB101,PEMADAM KEBAKARAN OTOMATIS,730,55,PC,9000592150,4.95E+11,27,,9000592150,2.43E+11,28,27,,9000592150,2.43E+11,0,04.09.2023,30.04.2026,969,On Progress
M1-22041,M1-22041.4500010091,1200000287,1/22/2024,4500010091,140000,FGB50BN0003,"Train Marking (Name plate,panel marking)",1080,57,SET,196213950,11184195150,27,,196213950,5297776650,30,27,,196213950,5297776650,0,04.09.2023,30.04.2026,969,On Progress
M1-22041,M1-22041.4500010091,1200000287,1/22/2024,4500010091,140000,FGB50AC0117,Pintu ruang genset,1170,55,SET,306028800,16831584000,27,,306028800,8262777600,28,27,,306028800,8262777600,0,04.09.2023,30.04.2026,969,On Progress
M1-22041,M1-22041.4500010091,1200000287,1/22/2024,4500010091,140000,FGB50JA0110,Insulation,230,57,SET,3059605131,1.74E+11,26,,3059605131,79549733406,31,26,,3059605131,79549733406,0,04.09.2023,30.04.2026,969,On Progress
M1-22041,M1-22041.4500010091,1200000287,1/22/2024,4500010091,140000,FGB52TH0001P01,AC 20.000 Kcal/h,770,114,SET,31478381100,3.59E+12,26,,31478381100,8.18E+11,88,26,,31478381100,8.18E+11,0,04.09.2023,30.04.2026,969,On Progress
M9-23004,M9-23004.9000000127,1200000214,3/6/2023,PON/GMB/0323/00012,20047,FGB566A0058,ABS 058 Jeruk Abu,170,25,PC,6745000,168625000,25,,6745000,168625000,0,25,,6745000,168625000,0,01.03.2023,18.03.2023,17,Complete
M9-23004,M9-23004.9000000215,1200000248,7/24/2023,PON/GMB/0423/00014,20047,FGB566A0083,ABS 083 Jeruk Abu,10,25,PC,3750000,93750000,25,,3750000,93750000,0,25,,3750000,93750000,0,06.04.2023,17.04.2023,11,Complete
M9-23004,M9-23004.9000000271,1200000250,8/18/2023,PON/GMB/0823/00023,20047,FGB566A0058,ABS 058 Jeruk Abu,100,25,PC,6745000,168625000,25,,6745000,168625000,0,25,,6745000,168625000,0,09.08.2023,29.08.2023,20,Complete
M1-22041,M1-22041.4500010091,1200000287,1/22/2024,4500010091,140000,FGB50JA0201,Insulation,240,55,SET,2122501150,1.17E+11,25,,2122501150,53062528750,30,25,,2122501150,53062528750,0,04.09.2023,30.04.2026,969,On Progress
M1-22041,M1-22041.4500010091,1200000287,1/22/2024,4500010091,140000,FGB47FA0016,Mechanical brake force transmission,940,297,SET,11338854120,3.37E+12,25,,11338854120,2.83E+11,272,25,,11338854120,2.83E+11,0,04.09.2023,30.04.2026,969,On Progress
M1-22041,M1-22041.4500010091,1200000287,1/22/2024,4500010091,140000,FGB50BA4103,Operator seat,320,55,SET,412349850,22679241750,23,,412349850,9484046550,32,23,,412349850,9484046550,0,04.09.2023,30.04.2026,969,On Progress
M1-23011,M1-23011.4300004437,1200000292,2/26/2024,4300004437,140000,FGB50BC0302,Luggage Rack,190,22,SET,1543119600,33948631200,22,,1543119600,33948631200,0,0,,1543119600,0,22,18.10.2023,16.02.2024,121,Complete
M9-23004,M9-23004.9000000193,1200000208,2/24/2023,PON/GMB/0223/00033,20047,FGB566A0059A,ABS 059A Jeruk Abu,210,22,PC,3520000,77440000,22,,3520000,77440000,0,22,,3520000,77440000,0,24.02.2023,08.03.2023,12,Complete
M1-22041,M1-22041.4500010091,1200000287,1/22/2024,4500010091,140000,FGB50BB0004,Meja kerja,330,55,PC,157735050,8675427750,22,,157735050,3470171100,33,22,,157735050,3470171100,0,04.09.2023,30.04.2026,969,On Progress
M1-23011,M1-23011.4300004437,1200000292,2/26/2024,4300004437,140000,FGB40AE1701P01,Tangki Air Atas (include water level sen,10,22,SET,829265140,18243833080,22,,829265140,18243833080,0,22,,829265140,18243833080,0,18.10.2023,16.02.2024,121,Complete
M1-23011,M1-23011.4300004437,1200000292,2/26/2024,4300004437,140000,FGB52TH0001P01,AC 20.000 Kcal/h,40,22,SET,6074775300,1.34E+11,22,,6074775300,1.34E+11,0,22,,6074775300,1.34E+11,0,18.10.2023,16.02.2024,121,Complete
M1-23011,M1-23011.4300004437,1200000292,2/26/2024,4300004437,140000,FGB50AB1701P01,Side wall Luxury,100,22,SET,838844160,18454571520,22,,838844160,18454571520,0,22,,838844160,18454571520,0,18.10.2023,16.02.2024,121,Complete
M1-23011,M1-23011.4300004437,1200000292,2/26/2024,4300004437,140000,FGB50AB1701P02,Ceiling panel Luxury,110,22,SET,1515224986,33334949692,22,,1515224986,33334949692,0,22,,1515224986,33334949692,0,18.10.2023,16.02.2024,121,Complete
M1-23011,M1-23011.4300004437,1200000292,2/26/2024,4300004437,140000,FGB50AB1701P06,Endwall Luxury,120,22,SET,204585282,4500876204,22,,204585282,4500876204,0,22,,204585282,4500876204,0,18.10.2023,16.02.2024,121,Complete
M1-23011,M1-23011.4300004437,1200000292,2/26/2024,4300004437,140000,FGB40AE1701P07,Piping septic tank luxury,350,22,SET,273130000,6008860000,22,,273130000,6008860000,0,22,,273130000,6008860000,0,18.10.2023,16.02.2024,121,Complete
M3-24001,M3-24001.9000000336,1200000313,7/19/2024,POIMST/0524/00021,140002,FGB762A17005,Folding Seat,10,21,PC,57750000,1212750000,21,,57750000,1212750000,0,9,,57750000,519750000,12,21.05.2024,21.10.2024,153,Complete
M1-22041,M1-22041.4500010091,1200000287,1/22/2024,4500010091,140000,FGB50EB2802,Evacuation Line (safety line),570,57,SET,258313170,14723850690,21,,258313170,5424576570,36,21,,258313170,5424576570,0,04.09.2023,30.04.2026,969,On Progress
M1-22041,M1-22041.4500010091,1200000287,1/22/2024,4500010091,140000,FGB50AC0108,Pintu Masuk ruang dapur,790,57,SET,989370090,56394095130,21,,989370090,20776771890,36,21,,989370090,20776771890,0,04.09.2023,30.04.2026,969,On Progress
M1-22041,M1-22041.4500010091,1200000287,1/22/2024,4500010091,140000,FGB50AC0110,Pintu Entrance/masuk Modular (RIGHT),800,55,SET,1082148100,59518145500,21,,1082148100,22725110100,34,21,,1082148100,22725110100,0,04.09.2023,30.04.2026,969,On Progress
M9-23004,M9-23004.9000000265,1200000254,9/4/2023,PON/GMB/0723/00036,20047,FGB566A0078,ABS 078 Jeruk Abu,70,20,PC,4298000,85960000,20,,4298000,85960000,0,0,,4298000,0,20,15.07.2023,01.08.2023,17,Complete
M9-23004,M9-23004.9000000265,1200000254,9/4/2023,PON/GMB/0723/00036,20047,FGB566A0059A,ABS 059A Jeruk Abu,130,20,PC,3200000,64000000,20,,3200000,64000000,0,0,,3200000,0,20,15.07.2023,01.08.2023,17,Complete
M9-23004,M9-23004.9000000231,1200000225,5/5/2023,PON/GMB/0523/00005,20047,FGB566A0059A,ABS 059A Jeruk Abu,170,20,PC,3200000,64000000,20,,3200000,64000000,0,20,,3200000,64000000,0,03.05.2023,17.05.2023,14,Complete
M9-23004,M9-23004.9000000250,1200000238,6/16/2023,PON/GMB/0623/00026,20047,FGB566A0078,ABS 078 Jeruk Abu,70,20,PC,4298000,85960000,20,,4298000,85960000,0,20,,4298000,85960000,0,13.06.2023,26.06.2023,13,Complete
M9-23004,M9-23004.9000000250,1200000238,6/16/2023,PON/GMB/0623/00026,20047,FGB566A0059A,ABS 059A Jeruk Abu,120,20,PC,3200000,64000000,20,,3200000,64000000,0,20,,3200000,64000000,0,13.06.2023,26.06.2023,13,Complete
M1-22041,M1-22041.4500010091,1200000287,1/22/2024,4500010091,140000,FGB50AC0111,Pintu Entrance/masuk Modular (LEFT),810,55,SET,1082148100,59518145500,20,,1082148100,21642962000,35,20,,1082148100,21642962000,0,04.09.2023,30.04.2026,969,On Progress
M1-22041,M1-22041.4500010091,1200000287,1/22/2024,4500010091,140000,FGB50AC0113,Pintu ruang operator,830,55,SET,477330700,26253188500,20,,477330700,9546614000,35,20,,477330700,9546614000,0,04.09.2023,30.04.2026,969,On Progress
M1-22041,M1-22041.4500010091,1200000287,1/22/2024,4500010091,140000,FGB50AC0114,Pintu ruang kru,840,55,SET,477330700,26253188500,20,,477330700,9546614000,35,20,,477330700,9546614000,0,04.09.2023,30.04.2026,969,On Progress
M1-22041,M1-22041.4500010091,1200000287,1/22/2024,4500010091,140000,FGB50DI2010P02,Box komponen Elektrik,1380,55,SET,325538400,17904612000,20,,325538400,6510768000,35,20,,325538400,6510768000,0,04.09.2023,30.04.2026,969,On Progress
M5-23003,M5-23003.7100001690,1200000306,6/7/2024,7100001690,140011,FGB22B72OM00301XXA,DAUN PINTU GANGWAY,70,26,SET,265200000,6895200000,19,,265200000,5038800000,7,0,,265200000,0,19,28.12.2023,03.05.2024,127,On Progress
M9-23004,M9-23004.9000000296,1200000260,10/13/2023,PON/GMB/1023/00035,20047,FGB566A0063,ABS 063 Jeruk Abu,20,18,PC,3585600,64540800,18,,3585600,64540800,0,0,,3585600,0,18,12.10.2023,31.10.2023,19,Complete
M9-23004,M9-23004.9000000296,1200000260,10/13/2023,PON/GMB/1023/00035,20047,FGB566A0064,ABS 064 Jeruk Abu,30,18,PC,4240800,76334400,18,,4240800,76334400,0,0,,4240800,0,18,12.10.2023,31.10.2023,19,Complete
M9-23004,M9-23004.9000000296,1200000260,10/13/2023,PON/GMB/1023/00035,20047,FGB566A0067,ABS 067 Jeruk Abu,40,18,PC,8550000,153900000,18,,8550000,153900000,0,0,,8550000,0,18,12.10.2023,31.10.2023,19,Complete
M9-23004,M9-23004.9000000296,1200000260,10/13/2023,PON/GMB/1023/00035,20047,FGB566A0080,ABS 080 Jeruk Abu,90,18,PC,3960000,71280000,18,,3960000,71280000,0,0,,3960000,0,18,12.10.2023,31.10.2023,19,Complete
M9-23004,M9-23004.9000000296,1200000260,10/13/2023,PON/GMB/1023/00035,20047,FGB566A0081,ABS 081 Jeruk Abu,100,18,PC,8497800,152960400,18,,8497800,152960400,0,0,,8497800,0,18,12.10.2023,31.10.2023,19,Complete
M9-23004,M9-23004.9000000296,1200000260,10/13/2023,PON/GMB/1023/00035,20047,FGB566A0082,ABS 082 Jeruk Abu,120,18,PC,12499200,224985600,18,,12499200,224985600,0,0,,12499200,0,18,12.10.2023,31.10.2023,19,Complete
M9-23004,M9-23004.9000000296,1200000260,10/13/2023,PON/GMB/1023/00035,20047,FGB566A0090,ABS 090 Jeruk Abu,160,18,PC,6750000,121500000,18,,6750000,121500000,0,0,,6750000,0,18,12.10.2023,31.10.2023,19,Complete
M9-23004,M9-23004.9000000296,1200000260,10/13/2023,PON/GMB/1023/00035,20047,FGB566A0091,ABS 091 JERUK ABU + SAMBUNGAN,170,18,PC,9346500,168237000,18,,9346500,168237000,0,0,,9346500,0,18,12.10.2023,31.10.2023,19,Complete
M9-23004,M9-23004.9000000296,1200000260,10/13/2023,PON/GMB/1023/00035,20047,FGB566A0092,ABS 092 JERUK ABU + SAMBUNGAN,180,18,PC,9346500,168237000,18,,9346500,168237000,0,0,,9346500,0,18,12.10.2023,31.10.2023,19,Complete
M9-23004,M9-23004.9000000297,1200000262,10/17/2023,PON/GMB/1023/00049,20047,FGB566A0093,ABS 093 JERUK ABU,10,18,PC,13405500,241299000,18,,13405500,241299000,0,0,,13405500,0,18,16.10.2023,31.10.2023,15,Complete
M9-23004,M9-23004.9000000297,1200000262,10/17/2023,PON/GMB/1023/00049,20047,FGB566A0094,ABS 094 JERUK ABU,20,18,PC,13342500,240165000,18,,13342500,240165000,0,0,,13342500,0,18,16.10.2023,31.10.2023,15,Complete
M9-23004,M9-23004.9000000297,1200000262,10/17/2023,PON/GMB/1023/00049,20047,FGB566A0095,ABS 095 JERUK ABU,30,18,PC,3640500,65529000,18,,3640500,65529000,0,0,,3640500,0,18,16.10.2023,31.10.2023,15,Complete
M9-23004,M9-23004.9000000297,1200000262,10/17/2023,PON/GMB/1023/00049,20047,FGB566A0096,ABS 096 JERUK ABU,40,18,PC,3771000,67878000,18,,3771000,67878000,0,0,,3771000,0,18,16.10.2023,31.10.2023,15,Complete
M1-22041,M1-22041.4500010091,1200000287,1/22/2024,4500010091,140000,FGB50AK0402,External addition,190,55,SET,156307800,8596929000,18,,156307800,2813540400,37,18,,156307800,2813540400,0,04.09.2023,30.04.2026,969,On Progress
M1-22041,M1-22041.4500010091,1200000287,1/22/2024,4500010091,140000,FGB50BA4003,Crew Seat,1420,55,SET,90726350,4989949250,18,,90726350,1633074300,37,18,,90726350,1633074300,0,04.09.2023,30.04.2026,969,On Progress
M9-23004,M9-23004.9000000296,1200000260,10/13/2023,PON/GMB/1023/00035,20047,FGB566A0070,ABS 070 JERUK ABU,50,16,PC,5441600,87065600,16,,5441600,87065600,0,0,,5441600,0,16,12.10.2023,31.10.2023,19,Complete
M9-23004,M9-23004.9000000296,1200000260,10/13/2023,PON/GMB/1023/00035,20047,FGB566A0071,ABS 071 JERUK ABU,60,16,PC,5539200,88627200,16,,5539200,88627200,0,0,,5539200,0,16,12.10.2023,31.10.2023,19,Complete
M1-23007,M1-23007.4500009965,1200000204,2/7/2023,4500009965,140000,FGC86VH0003,Bendera Merah,10,16,PC,4240000,67840000,16,,4240000,67840000,0,16,,4240000,67840000,0,30.01.2023,24.02.2023,25,Complete
M9-23004,M9-23004.9000000193,1200000208,2/24/2023,PON/GMB/0223/00033,20047,FGB566A0078,ABS 078 Jeruk Abu,150,16,PC,3438400,55014400,16,,3438400,55014400,0,16,,3438400,55014400,0,24.02.2023,08.03.2023,12,Complete
M1-23001,M1-23001.4500009981,1200000215,3/8/2023,4500009981,140000,FGB52TP1803,Temperature & Vibration Sensor,10,16,PC,83744000,1339904000,16,,83744000,1339904000,0,16,,83744000,1339904000,0,06.03.2023,30.04.2023,55,Complete
M1-22041,M1-22041.4500010091,1200000287,1/22/2024,4500010091,140000,FGB50DI2010P01,Box stop blok,1360,55,SET,105306905,5791879775,16,,105306905,1684910480,39,16,,105306905,1684910480,0,04.09.2023,30.04.2026,969,On Progress
M1-23002,M1-23002.4500010705,1200000298,4/29/2024,4500010705,140000,FGA11ZX0120F10,STEEL PLATE,90,19,SHT,167260800,3177955200,16,,167260800,2676172800,3,16,,167260800,2676172800,0,22.03.2024,30.04.2024,39,On Progress
